frame,time_s,angle_deg,tip_x,tip_y,base_x,base_y,base_dir_deg,tip_dir_deg,n_skeleton,mid_x,mid_y,needle_len
0,0.0000,5.221,387.49,271.60,847.00,303.50,-180.000,174.779,533,387.49,271.60,39.11
1,0.0333,5.776,386.48,271.67,847.00,303.50,-180.000,174.224,525,386.48,271.67,39.10
2,0.0666,5.723,387.48,271.72,847.00,303.50,-180.000,174.277,525,387.48,271.72,39.10
3,0.0999,6.400,388.48,271.22,847.00,303.00,-180.000,173.600,538,388.48,271.22,38.98
4,0.1332,5.145,391.47,270.82,847.00,302.00,-180.000,174.855,523,391.47,270.82,39.11
5,0.1665,5.416,389.49,270.60,847.00,302.00,-180.000,174.584,513,389.49,270.60,39.11
6,0.1998,5.518,388.49,270.57,847.00,302.50,-180.000,174.482,528,388.49,270.57,39.11
7,0.2331,5.895,388.51,270.93,847.00,303.00,-180.000,174.105,530,388.51,270.93,39.00
8,0.2664,4.533,387.48,271.30,847.00,303.50,-180.000,175.467,573,387.48,271.30,39.04
9,0.2997,4.679,387.45,271.67,847.00,303.50,-180.000,175.321,547,387.45,271.67,39.03
10,0.3330,5.275,387.51,271.88,847.00,303.50,-180.000,174.725,530,387.51,271.88,39.02
11,0.3663,5.146,389.44,271.67,847.00,303.50,-180.000,174.854,529,389.44,271.67,39.20
12,0.3996,5.227,389.46,271.40,847.00,303.00,-180.000,174.773,536,389.46,271.40,39.02
13,0.4329,5.511,390.52,270.83,847.00,302.50,-180.000,174.489,539,390.52,270.83,39.01
14,0.4662,5.511,390.52,270.83,847.00,302.50,-180.000,174.489,539,390.52,270.83,39.01
15,0.4995,5.788,389.51,270.93,847.00,302.50,-180.000,174.212,520,389.51,270.93,39.00
16,0.5328,5.037,386.52,271.33,847.00,303.00,-180.000,174.963,539,386.52,271.33,39.11
17,0.5661,5.299,388.45,271.55,847.00,303.50,-180.000,174.701,547,388.45,271.55,39.20
18,0.5994,5.166,388.49,271.62,847.00,303.50,-180.000,174.834,532,388.49,271.62,39.11
19,0.6327,5.327,389.44,271.62,847.00,303.50,-180.000,174.673,543,389.44,271.62,39.20
