frame,tx1,ty1,tx2,ty2,angle_deg,source
0,339.370110330993,249.21163490471415,404.012036108325,250.06218655967905,1.2296,corrected
50,346.17452357071215,250.06218655967905,398.0581745235707,250.06218655967905,1.9835,corrected
150,347.025075225677,250.06218655967905,422.7241725175527,253.46439317953863,0.5899,corrected
200,350.42728184553664,242.40722166499498,385.2998996990973,251.76328986960883,13.0349,manual
250,347.025075225677,238.15446339017052,373.39217652958877,251.76328986960883,25.3161,corrected
300,350.42728184553664,231.35005015045135,378.4954864593781,253.46439317953863,36.2503,corrected
350,349.5767301905717,225.3961885656971,371.69107321965896,251.76328986960883,48.0296,corrected
400,349.5767301905717,226.246740220662,377.64493480441325,250.91273821464392,39.3251,corrected
450,354.68004012036107,220.29287863590773,376.7943831494484,250.91273821464392,52.1789,corrected
500,358.0822467402207,221.14343029087263,375.0932798395186,249.21163490471415,56.7981,corrected
550,358.93279839518556,218.59177532597795,376.7943831494484,251.76328986960883,59.7158,corrected
600,364.88665997993985,215.18956870611837,376.7943831494484,250.91273821464392,69.5816,corrected
650,362.33500501504517,211.78736208625878,383.5987963891675,253.46439317953863,60.9857,corrected
700,364.88665997993985,210.086258776329,382.7482447342026,251.76328986960883,64.8179,corrected
750,368.2888665997994,210.086258776329,386.15045135406217,250.91273821464392,64.3871,corrected
800,369.9899699097292,207.5346038114343,385.2998996990973,252.61384152457373,69.2579,corrected
900,379.34603811434306,204.9829488465396,372.5416248746239,250.91273821464392,96.4435,manual
950,371.69107321965896,205.83350050150452,391.2537612838516,246.65997993981946,62.4143,corrected
1000,380.19658976930793,201.58074222668006,369.9899699097292,253.46439317953863,99.1457,manual
1100,381.0471414242728,196.47743229689067,364.0361083249749,247.51053159478437,106.4515,manual
1200,372.5416248746239,208.3851554663992,399.7592778335005,251.76328986960883,55.9103,corrected
1300,385.2998996990973,193.925777331996,347.87562688064196,251.76328986960883,120.9218,manual
